源要素,源要素类型,关联角色,关联类,目标要素,目标要素类型,关联类型,GML 已承载,条文出处,备注
青年枢纽下游水域 / Downstream Waters of the Qingnian Hub,WaterwayArea,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
青年枢纽上游水域 / Upstream Waters of the Qingnian Hub,WaterwayArea,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
6号弯曲航段 / No.6 Curved Fairway Section,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,theRxN,AssociatedRxN,平陆运河航道通航禁止行为 / Prohibited Acts for Navigation in the Pinglu Canal Fairway,Regulations,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
5号弯曲航段 / No.5 Curved Fairway Section,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平塘江口至北部湾大桥水域 / Pingtang River Mouth to Beibu Gulf Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
4号航行警戒区 / Precautionary Area No.4,CautionArea,theRxN,AssociatedRxN,平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,—,—,,
4号弯曲航段 / No.4 Curved Fairway Section,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
钦江河口掉头区 / Qinjiang River Mouth Turning Area,RestrictedAreaNavigational,permission,PermissionType,船长小于90米的船舶 / Vessels with a length of less than 90m,Applicability,,否，需系统内补录,,
钦江河口掉头区 / Qinjiang River Mouth Turning Area,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,theRxN,AssociatedRxN,平陆运河航道通航禁止行为 / Prohibited Acts for Navigation in the Pinglu Canal Fairway,Regulations,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平塘江口至北部湾大桥水域 / Pingtang River Mouth to Beibu Gulf Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,theRxN,AssociatedRxN,平陆运河航道通航禁止行为 / Prohibited Acts for Navigation in the Pinglu Canal Fairway,Regulations,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平塘江口至北部湾大桥水域 / Pingtang River Mouth to Beibu Gulf Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
"青年船闸上游待闸锚地 / Upstream Approach Anchorage, Qingnian Hub",RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,theRxN,AssociatedRxN,平陆运河航道通航禁止行为 / Prohibited Acts for Navigation in the Pinglu Canal Fairway,Regulations,—,—,,
平陆运河航道 / Pinglu Canal Fairway,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
3号弯曲航段 / No.3 Curved Fairway Section,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
2号弯曲航段 / No.2 Curved Fairway Section,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
